level,ref,name,pad_x,pad_y,gap,span,center,pitch_c2c,courtyard_x,courtyard_y
A,0201,RESC0603X23M,0.465,0.61,0.145,1.365,0.377,0.755,1.465,2.365
A,0402,RESC1005X35M,0.665,0.71,0.345,1.765,0.527,1.055,1.665,2.765
A,0603,RESC1608X45M,1.008,0.806,0.796,2.408,0.801,1.602,2.008,3.408
A,0805,RESC2012X50M,1.458,0.905,0.997,2.808,0.951,1.902,2.458,3.808
A,1206,RESC3216X55M,1.855,1.054,1.947,4.055,1.501,3.001,2.855,5.055
A,1210,RESC3225X55M,2.755,1.054,1.947,4.055,1.501,3.001,3.755,5.055
A,2010,RESC5025X60M,2.755,1.154,3.548,5.855,2.351,4.701,3.755,6.855
A,2512,RESC6332X60M,3.455,1.204,4.748,7.155,2.976,5.951,4.455,8.155
